Value|Category|Answer|Question
500|MODERN SPORTS EQUIPMENT|Hang gliding|A triangular sail, an aluminum frame, harness
100|THE 20th CENTURY|West Germany|This country admitted to NATO in 1955 had limits on its weapons production--bad memories, you know
200|THE 20th CENTURY|savings and loans|In a massive 1980s effort, the FBI uncovered fraud behind the failure of these financial institutions
300|THE 20th CENTURY|Spain|In 1998 Seattle dedicated the USA's 1st standing monument to those who fought in this country in the 1930s
400|THE 20th CENTURY|Dizzy|Nickname shared by baseball great Jay Dean & jazz great John Gillespie
500|THE 20th CENTURY|the Third Reich|This name given to the regime that ruled Germany from 1933 to 1945 reflects 2 others before it
100|FABRICS|fishnet|Open mesh fabric style used in stockings & on trawlers
200|FABRICS|chiffon|It's a fluffy type of pie, or a sheer, fluffy silk fabric for blouses
300|FABRICS|flannel|Gregory Peck's title gray suit was made of this
400|FABRICS|velvet|Panne, cut & crushed are types of this thick pile fabric
500|FABRICS|cashmere|Pashmina is a fashionable type of this luxurious fabric made from the hair of a wild goat native to India & Tibet
100|NUMBERS|6|States in present-day New England
200|NUMBERS|4|Total number of royal flushes that can be dealt out of one deck of 52 cards
300|NUMBERS|3|In the U.S., the difference between a million & a billion is this many zeros
400|NUMBERS|35|JFK was this number in presidential sequence, also the minimum age to become president
500|NUMBERS|10|Syllables in a line of standard iambic pentameter
100|GEOGRAPHY|France|Largest country entirely in Europe
200|GEOGRAPHY|Eastern|Clocks in Lima, Peru, read the same as in this U.S. time zone
300|GEOGRAPHY|Lake Superior|The Great Lakes are Huron, Ontario, Michigan, Erie & this one whose name implies greatness
400|GEOGRAPHY|Albuquerque|This largest city in New Mexico has 2 Qs & 3 Us in its name
500|GEOGRAPHY|Connecticut|Hartford is the capital of this New England state
100|ABBREV.|megabyte|In computerese, when referring to capacity, MB is short for this
200|ABBREV.|centigram|This metric unit can be abbreviated cg or cgm
300|ABBREV.|checkmate|In the game of chess chm. is an abbreviation for this move
400|ABBREV.|rest in peace|On a tombstone: RIP
500|ABBREV.|the Grand Old Party|A political group: GOP
100|IN THE STATE CAPITAL|Boston|The 3-mile-long Freedom Trail (& a few other Revolutionary War bits of history, here & there)
200|IN THE STATE CAPITAL|Austin, Texas|The Lyndon Johnson Presidential Library
300|IN THE STATE CAPITAL|Atlanta|The city-operated Margaret Mitchell House
400|IN THE STATE CAPITAL|Hartford, Connecticut|Aetna Insurance corporate headquarters
500|IN THE STATE CAPITAL|Topeka|Sumner Elementary School, known for its part in a 1954 Supreme Court Case
100|BRITISH AUTHORS|Beatrix Potter|Peter Rabbit & Benjamin Bunny are just a few of this British author's hare-brained protagonists
200|BRITISH AUTHORS|Charles Dickens|This 19th C. novelist's name gave us an adjective that's used to mean squalid or impoverished
300|BRITISH AUTHORS|Conan Doyle|His professor, Dr. Joseph Bell, a master of diagnostic deduction, was his model for Sherlock Holmes
400|BRITISH AUTHORS|Salman Rushdie|After a fatwa was issued against him in February 1989, he went into hiding under police protection
500|BRITISH AUTHORS|Arthur C. Clarke|He helped cover the Apollo 12 & 15 space missions with Walter Cronkite & Wally Schirra
100|TV WORKPLACES|Homer Simpson|Bart's dad, he works at the Springfield Nuclear Power Plant, sector 7G
200|TV WORKPLACES|Cheers|It's where you could get a pitcher full of beer from Sam or Woody or an earful from Carla
300|TV WORKPLACES|Crossing Jordan|The title character on this NBC drama works for the Massachusetts State Coroner's Office
400|TV WORKPLACES|L.A. Law|This drama was set at the firm of McKenzie, Brackman, Chaney and Kuzak
500|TV WORKPLACES|Taxi|All hail the Sunshine Cab Company, the setting of this sitcom
100|PHILOSOPHERS' COUNTRY OF BIRTH|Britain|Thomas Hobbes, William of Ockham
200|PHILOSOPHERS' COUNTRY OF BIRTH|Italy|Pico Della Mirandola, Boethius
300|PHILOSOPHERS' COUNTRY OF BIRTH|the U.S.|John Dewey, John Rawls
400|PHILOSOPHERS' COUNTRY OF BIRTH|the Netherlands|Desidierius Erasmus, Baruch Spinoza
500|PHILOSOPHERS' COUNTRY OF BIRTH|Ireland|Robert Boyle, George Berkeley
100|PRESIDENTS: THIS IS YOUR WIFE!|Ronald Reagan|Nancy Davis
200|PRESIDENTS: THIS IS YOUR WIFE!|Gerald Ford|Betty Bloomer
300|PRESIDENTS: THIS IS YOUR WIFE!|Andrew Jackson|Rachel Donelson Robards
400|PRESIDENTS: THIS IS YOUR WIFE!|John Adams|Abigail Smith
500|PRESIDENTS: THIS IS YOUR WIFE!|William McKinley|Ida Saxton
100|THEIR GIVEN FIRST NAMES|Edward|Poet Ted Hughes
200|THEIR GIVEN FIRST NAMES|Theodore|Ballplayer Ted Williams
300|THEIR GIVEN FIRST NAMES|Robert|Comedian Bobcat Goldthwait
400|THEIR GIVEN FIRST NAMES|Richard|Musician Ringo Starr
500|THEIR GIVEN FIRST NAMES|Anastasia|Gymnast Nastia Liukin, like a Russian grand duchess
100|THE AGRICULTURAL HALL OF FAME|wheat|Norman Borlaug sparked the green revolution by developing a dwarf strain of this cereal grass
200|THE AGRICULTURAL HALL OF FAME|Wisconsin|William Hoard was instrumental in founding the USA's first dairy school at the University of this state--where else?
300|THE AGRICULTURAL HALL OF FAME|cream|In 1879 Carl de Laval invented a high-speed separator that separated this from whole milk
400|THE AGRICULTURAL HALL OF FAME|Bob Dole|A 2006 inductee, this former Kansas senator & presidential candidate helped develop the food stamp program
500|THE AGRICULTURAL HALL OF FAME|the Grange|Oliver Kelley is in the Hall for creating this 19th century farmers' fraternal organization
100|CONTEMPORARIES|Einstein|Picasso was in his rose period in 1905, this physicist's so-called miracle year
200|CONTEMPORARIES|(Emily) Dickinson|In the 1850s, while Gregor Mendel was playing with his peas, this American woman was writing the first of her 1,775 poems
300|CONTEMPORARIES|Candide|Samuel Johnson published his dictionary in 1755; 3 years later Voltaire wrote this philosophical fantasy
400|CONTEMPORARIES|Florence Nightingale|Susan B. Anthony pushed for women's rights while this woman was nursing British soldiers in the Crimean War
500|CONTEMPORARIES|(Winston) Churchill|Herbert Hoover was born Aug. 10, 1874 & this statesman Nov. 30, 1874 at Blenheim Palace; they died 3 months apart
100|DUMB CRIMINALS|Ohio|In 2009 a bank in this buckeye state got tipped off to a robbery when a man in a ski mask waited patiently in line
200|DUMB CRIMINALS|Little Rock|A man called the home he just robbed in this Arkansas capital to say he dropped his wallet there & wanted it back
300|DUMB CRIMINALS|record|In 2009 a thief broke into an NBC news van; in failing to steal a bolted-down camera, he hit this button by mistake
400|DUMB CRIMINALS|GPS|3 Penn. muggers stole an iPhone but didn't turn off this 3-letter feature, which cops used to track & catch them
500|DUMB CRIMINALS|a La-Z-Boy|A Minnesota man got a DUI for driving not a car but a redesigned recliner from this hyphenated Co.; it could go 20 mph
100|ALSO AN AIRLINE|American|Like Mom & apple pie
200|ALSO AN AIRLINE|KLM|11th, 12th, 13th letters
300|ALSO AN AIRLINE|Continental|This model was Lincoln's first front-wheel drive car
400|ALSO AN AIRLINE|JetBlue|Cobalt plane
500|ALSO AN AIRLINE|Northwest|Washington, Oregon & Idaho, collectively
100|ALSO A MAJOR LEAGUE BASEBALL TEAM|the Reds|Them commies!
200|ALSO A MAJOR LEAGUE BASEBALL TEAM|the A's|Grades that should guarantee you 4.0
300|ALSO A MAJOR LEAGUE BASEBALL TEAM|the Brewers|Mr. Molson & Mr. Coors, collectively
400|ALSO A MAJOR LEAGUE BASEBALL TEAM|the Pirates|People who illegally copy software or DVDs
500|ALSO A MAJOR LEAGUE BASEBALL TEAM|the Mariners|Sailors, whether ancient or not
100|IT'S ALL A LEGEND|the Garden of Eden|When Columbus saw the mouth of the Orinoco River, he thought it flowed from this legendary biblical garden
200|IT'S ALL A LEGEND|an anvil|In Arthurian legend, the sword in the stone was stuck in one of these blacksmith aids on top of the stone
300|IT'S ALL A LEGEND|the Rainbow Warrior|This Greenpeace ship's name comes from a legend about a spirit that comes to save Earth from disaster
400|IT'S ALL A LEGEND|Jim Bowie|One legend about the Alamo involves a fabulous hoard of gold supposedly dropped down a well by this col.
500|IT'S ALL A LEGEND|the Kilkenny Cats|This pair of legendary Irish cats fought until only their tails were left
100|REUNIONS|Berlin|In 1989 the fall of a wall reunited this world capital after 28 years
200|REUNIONS|Sacagawea|A touching moment for Lewis & Clark was her reunion with her brother Cameahwait
300|REUNIONS|Colombia|In July 2008 in this country, rescued hostage Ingrid Betancourt was reunited with her kids after 6 years apart
400|REUNIONS|Helen|After the Greeks captured the city of Troy, she was reunited with Menelaus
500|REUNIONS|Teddy Roosevelt|The Republican Party reunited when the Bull Moose Party evaporated after nominating this man as president
100|THIS IS YOUR WIFE!|Tom Cruise|Katie Holmes
200|THIS IS YOUR WIFE!|Ashton Kutcher|Demi Moore
300|THIS IS YOUR WIFE!|Tony Parker|Eva Longoria
400|THIS IS YOUR WIFE!|Nick Cannon|Mariah Carey
500|THIS IS YOUR WIFE!|Seal|Heidi Klum
100|WHERE YA BEEN?|Canberra|Strolling through the National Gallery of Australia in this capital
200|WHERE YA BEEN?|the Andes|Climbing Mount Aconcagua in this Western Hemisphere mountain range
300|WHERE YA BEEN?|Hong Kong|Tracking my stocks on the Hang Seng index of this former Crown colony's stock exchange
400|WHERE YA BEEN?|Saskatchewan|Chopping down trees in Moose Jaw & Saskatoon in this province
500|WHERE YA BEEN?|Ebola|Carefully paddling down this Congolese river that lends its name to a deadly virus
100|NATURE|mouse|The most common one found in the home is “mus musculus”, which may be where Walt got the initials
200|NATURE|monsoon|From Arabic “mawsim”, meaning “season”, it's the wind which changes direction with the seasons
300|NATURE|Funnel|A tornado is typically a tube -- or this-shaped cloud hanging from from a cumulonimbus cloud
400|NATURE|Molting|Adult amphibians go through this skin-shedding process several times a year
500|NATURE|Vanilla|This flavoring is the only edible product produced by an orchid plant
100|KITCHEN UTENSILS|Garlic|Leaving the skin on a clove of this makes cleaning the press easier
200|KITCHEN UTENSILS|Corkscrew|A typical one of these beverage openers has a metal spiral with a transverse handle attached
300|KITCHEN UTENSILS|Meat Thermometer|When buying one of these to test for doneness in meat, choose one with a thin probe that will let less juice out
400|KITCHEN UTENSILS|Whisk|This utensil formed of a series of looped wires set in a handle is used to beat air into food
500|KITCHEN UTENSILS|Double Boiler|The lower pot of this 2-pot arrangement holds hot water; the upper, delicate foods like custards
100|CHRISTMAS|reindeer|Reportedly the Lapps were the first to depict Father Christmas with a sleigh drawn by these
200|CHRISTMAS|Christopher Radko|(Jimmy of the Clue Crew)  He began creating his own Christmas ornaments in the 1980s, & now sells over 1,200 designs like this one
300|CHRISTMAS|Red & Green|They're the 2 traditional colors of Christmas
400|CHRISTMAS|Mistletoe|Pluck one berry for each kiss stolen under this plant; when the berries are gone, no more kissing
500|CHRISTMAS|Epiphany|For many the Christmas season lasts until this festival on January 6
100|PEN NAMES|Crayola|This crayon brand also makes Click Em On markers & Spider Writers
200|PEN NAMES|Bic|This brand name is found on disposable lighters & razors, as well as ballpoint pens
300|PEN NAMES|highlighter|Fluorescent yellow or pink is a good choice for this felt tip pen whose name indicates its use in marking texts
400|PEN NAMES|fountain pen|In 1884 Louis E. Waterman patented the first practical one of these
500|PEN NAMES|Andersonville|This notorious Confederate prison has given its name to a national historic site in Georgia
100|BASKETBALL|Michael Jordan|In 1994 he hit 3 HRs for the Double-A Birmingham Barons; in '96 he was the NBA's season & finals MVP
200|BASKETBALL|Tim Duncan|Though he didn't play organized hoops until 9th grade, this Spurs center is a 3-time NBA Finals MVP
300|BASKETBALL|Bobby Knight|On Sept. 10, 2000 he was fired as coach of the Indiana Hoosiers after a 29-year stay at the school
400|BASKETBALL|Orlando Magic|In 1993 Shaquille O'Neal was named the NBA's Rookie of the Year while playing center for this Florida team
500|BASKETBALL|Duke|The Blue Devils of this school are the only Division I team to win 37 games in a season twice
100|GEOMETRY|Radius|The diameter of any circle is twice as long as this of the circle
200|GEOMETRY|A & B|In the right triangle seen here, they are the 2 angles considered complementary
300|GEOMETRY|Vertex|Vertices is plural; this is the singular form
400|GEOMETRY|Cube|Common 4-letter name for a regular hexahedron
500|GEOMETRY|Square|Cross a rhombus, having 4 equal sides, with a rectangle having 4 equal angles, & you get one of these
100|CLASSIC LOGOS|Leo the Lion|Metro's bird lost out to this animal to be the symbol of the Metro-Goldwyn-Mayer Studios
200|CLASSIC LOGOS|Allstate|Hands cupped together, holding a house & a car, was the classic symbol for this insurer
300|CLASSIC LOGOS|Chef's hat|Piece of clothing worn by the Pillsbury Doughboy that has the Pillsbury logo on it
